file,module,ecosystem,total_lines,covered_lines,coverage_pct,test_exists,priority
"frontend/src/app/features/auth/profile/profile.component.ts","auth",frontend,224,75,33.48,true,HIGH
"frontend/src/app/features/auth/register/register.component.ts","auth",frontend,135,65,48.15,true,HIGH
"frontend/src/app/features/bookings/booking-detail-page/booking-detail-page.component.ts","bookings",frontend,37,32,86.49,true,HIGH
"frontend/src/app/features/bookings/booking-success-page/booking-success-page.component.ts","bookings",frontend,45,33,73.33,true,HIGH
"frontend/src/app/features/bookings/booking-summary-page/booking-summary-page.component.ts","bookings",frontend,53,46,86.79,true,HIGH
"frontend/src/app/features/bookings/final-ticket/final-ticket.component.ts","bookings",frontend,54,44,81.48,true,HIGH
"frontend/src/app/features/bookings/my-bookings-page/my-bookings-page.component.ts","bookings",frontend,204,108,52.94,true,HIGH
"frontend/src/app/features/bookings/pnr-status-page/pnr-status-page.component.ts","bookings",frontend,68,43,63.24,true,HIGH
"frontend/src/app/features/bookings/public-ticket-page/public-ticket-page.component.ts","bookings",frontend,32,26,81.25,true,HIGH
"frontend/src/app/features/bookings/ticket-card/ticket-card.component.ts","bookings",frontend,49,41,83.67,true,HIGH
"frontend/src/app/features/payments/payment-failed-page/payment-failed-page.component.ts","payments",frontend,42,32,76.19,true,HIGH
"frontend/src/app/features/payments/payment-page/payment-page.component.ts","payments",frontend,228,77,33.77,true,HIGH
"frontend/src/app/features/payments/payment-success-page/payment-success-page.component.ts","payments",frontend,38,35,92.11,true,HIGH
